ID,NAME,CREATED,CREATED (MS),LAST IMPORT,UPDATED,UPDATED (MS),TAGS
55940e9c5241495e497c0100,Oneida Health Care,Wed Jul 01 2015 12:00:28 GMT-0400 (Eastern Daylight Time),1435766428004,Wed Feb 02 2022 04:02:33 GMT-0500 (Eastern Standard Time),Wed Apr 20 2022 22:01:25 GMT-0400 (Eastern Daylight Time),1650506485062,"cancelled,justin!,orchid,voice"
55365e525241497d90580100,Baylor Scott & White Health,Tue Apr 21 2015 10:27:30 GMT-0400 (Eastern Daylight Time),1429626450721,Tue Apr 05 2022 17:24:44 GMT-0400 (Eastern Daylight Time),Wed Apr 06 2022 18:52:33 GMT-0400 (Eastern Daylight Time),1649285553014,cancelled
51ae764dacc0dbd4a700000d,SCL - Lutheran Medical Center,Tue Jun 04 2013 19:20:45 GMT-0400 (Eastern Daylight Time),1370388045654,Thu Dec 06 2018 06:15:29 GMT-0500 (Eastern Standard Time),Wed Apr 20 2022 22:02:26 GMT-0400 (Eastern Daylight Time),1650506546230,"cancelled,echo,hl7,orchid,voice"
5519b9135241491e373c0200,Shannon Medical Center,Mon Mar 30 2015 16:58:59 GMT-0400 (Eastern Daylight Time),1427749139431,Fri Oct 01 2021 08:29:42 GMT-0400 (Eastern Daylight Time),Mon Mar 28 2022 08:27:48 GMT-0400 (Eastern Daylight Time),1648470468658,"cancelled,hl7,orchid,voice"
5b3e1f27ff1672feb3fb80df,RCCH HealthCare Partners,Thu Jul 05 2018 09:37:43 GMT-0400 (Eastern Daylight Time),1530797863932,Thu Sep 09 2021 13:46:58 GMT-0400 (Eastern Daylight Time),Mon Mar 28 2022 08:28:03 GMT-0400 (Eastern Daylight Time),1648470483034,"cancelled,hl7,implementation,orchid,voice"
51ae3d85acc0db2995000002,SCL - Saint Joseph Hospital,Tue Jun 04 2013 15:18:29 GMT-0400 (Eastern Daylight Time),1370373509366,Thu Dec 06 2018 06:21:57 GMT-0500 (Eastern Standard Time),Mon Mar 28 2022 08:29:25 GMT-0400 (Eastern Daylight Time),1648470565927,"cancelled,orchid,voice"
583f7a62da771056d68c122a,Well Care Home Health,Wed Nov 30 2016 20:18:26 GMT-0500 (Eastern Standard Time),1480555106569,Mon Oct 25 2021 10:30:30 GMT-0400 (Eastern Daylight Time),Mon Mar 28 2022 08:29:32 GMT-0400 (Eastern Daylight Time),1648470572056,"cancelled,hha,orchid,sftp,voice"
51af69c4acc0db6d5e000189,SCL - Good Samaritan Medical Center,Wed Jun 05 2013 12:39:32 GMT-0400 (Eastern Daylight Time),1370450372441,Thu Dec 06 2018 06:18:36 GMT-0500 (Eastern Standard Time),Mon Mar 28 2022 08:29:40 GMT-0400 (Eastern Daylight Time),1648470580720,"cancelled,orchid,voice"
55aef3d15241493cb2d40100,Wichita Falls GI Associates,Tue Jul 21 2015 21:37:21 GMT-0400 (Eastern Daylight Time),1437529041387,Fri Apr 03 2020 11:29:53 GMT-0400 (Eastern Daylight Time),Mon Mar 28 2022 08:29:53 GMT-0400 (Eastern Daylight Time),1648470593417,"appointment reminders,cancelled,kiosk,orchid,voice"
5b06f54eff1672b95687c44b,Revival Home Health,Thu May 24 2018 13:24:30 GMT-0400 (Eastern Daylight Time),1527182670369,Mon Apr 25 2022 03:36:54 GMT-0400 (Eastern Daylight Time),Thu Apr 21 2022 03:32:28 GMT-0400 (Eastern Daylight Time),1650526348021,"cancelled,hha,implementation"
51c7d099677affcc74000712,SCL - St. Mary's Medical Center,Mon Jun 24 2013 00:52:41 GMT-0400 (Eastern Daylight Time),1372049561666,Mon Nov 23 2020 14:16:41 GMT-0500 (Eastern Standard Time),Mon Mar 28 2022 08:30:11 GMT-0400 (Eastern Daylight Time),1648470611082,"cancelled,voice"
51acb77a677affadae000115,SCL - St. James Healthcare,Mon Jun 03 2013 11:34:18 GMT-0400 (Eastern Daylight Time),1370273658044,Mon Nov 23 2020 14:16:39 GMT-0500 (Eastern Standard Time),Mon Mar 28 2022 08:31:05 GMT-0400 (Eastern Daylight Time),1648470665199,"cancelled,voice"
57a25b4f4004126a83ce3a34,Manhattan Endoscopy Center,Wed Aug 03 2016 16:59:59 GMT-0400 (Eastern Daylight Time),1470257999931,Thu Dec 31 2020 11:17:23 GMT-0500 (Eastern Standard Time),Mon Mar 28 2022 08:31:23 GMT-0400 (Eastern Daylight Time),1648470683118,"asc,cancelled,voice"
5b9fd48cff167259c8ca8681,Hartford Healthcare,Mon Sep 17 2018 12:21:32 GMT-0400 (Eastern Daylight Time),1537201292198,Wed Jan 05 2022 13:16:51 GMT-0500 (Eastern Standard Time),Mon Mar 28 2022 08:31:31 GMT-0400 (Eastern Daylight Time),1648470691645,"cancelled,kiosk,sftp,voice"
