ID,NAME,CREATED,CREATED (MS),UPDATED,UPDATED (MS),TAGS
516f1a581b85b06c37000001,Marketing Calls,Wed Apr 17 2013 17:55:36 GMT-0400 (Eastern Daylight Time),1366235736877,Tue Dec 15 2020 09:51:48 GMT-0500 (Eastern Standard Time),1608043908270,test
551aef5752414937e27d0100,Stanford Health Care Sandbox,Tue Mar 31 2015 15:02:47 GMT-0400 (Eastern Daylight Time),1427828567329,Tue Dec 15 2020 09:51:57 GMT-0500 (Eastern Standard Time),1608043917501,"hl7,implementation,orchid,sandbox,sftp,sso,test"
55c3b5205241490f45410100,Account Strategy,Thu Aug 06 2015 15:27:28 GMT-0400 (Eastern Daylight Time),1438889248933,Tue Dec 15 2020 09:52:09 GMT-0500 (Eastern Standard Time),1608043929791,test
560983d461706f60f7b60f00,Edgewood Place,Mon Sep 28 2015 14:15:48 GMT-0400 (Eastern Daylight Time),1443464148054,Tue Dec 15 2020 09:52:09 GMT-0500 (Eastern Standard Time),1608043929090,"cancelled,echo,orchid,snf,voice"
550b3ab85241494278ba0000,Intermountain Healthcare,Thu Mar 19 2015 17:08:08 GMT-0400 (Eastern Daylight Time),1426799288740,Mon Apr 26 2021 17:34:40 GMT-0400 (Eastern Daylight Time),1619472880985,"hl7,orchid,voice"
5408b1e261706f49d4020000,CipherHealth Onboarding,Thu Sep 04 2014 14:39:30 GMT-0400 (Eastern Daylight Time),1409855970435,Wed Feb 10 2021 13:41:49 GMT-0500 (Eastern Standard Time),1612982509149,test
530e09d2524149182e070000,TPM Hospital 2 (Rounding Scripts),Wed Feb 26 2014 10:35:46 GMT-0500 (Eastern Standard Time),1393428946153,Tue Dec 15 2020 09:52:02 GMT-0500 (Eastern Standard Time),1608043922311,test
517584b01b85b061b300003d,Hill Country Memorial,Mon Apr 22 2013 14:42:56 GMT-0400 (Eastern Daylight Time),1366656176752,Tue Dec 15 2020 09:52:29 GMT-0500 (Eastern Standard Time),1608043949393,"sftp,voice"
53a849b45241497ffd660100,View Hospital,Mon Jun 23 2014 11:37:24 GMT-0400 (Eastern Daylight Time),1403537844724,Tue Dec 15 2020 09:52:30 GMT-0500 (Eastern Standard Time),1608043950141,test
517569541b85b034fb000003,Middlesex Hospital,Mon Apr 22 2013 12:46:12 GMT-0400 (Eastern Daylight Time),1366649172837,Tue Apr 27 2021 15:21:44 GMT-0400 (Eastern Daylight Time),1619551304239,"hl7,orchid,sftp,voice"
54e2f02952414947d5920000,The Aroostook Medical Center,Tue Feb 17 2015 02:39:21 GMT-0500 (Eastern Standard Time),1424158761076,Tue Dec 15 2020 09:57:52 GMT-0500 (Eastern Standard Time),1608044272881,cancelled
52128b15acc0dbc186000286,Nassau University Medical Center,Mon Aug 19 2013 17:16:05 GMT-0400 (Eastern Daylight Time),1376946965382,Thu Mar 04 2021 15:39:51 GMT-0500 (Eastern Standard Time),1614890391026,"cancelled,voice"
535edad2524149102c080000,Z Orchid/Echo PROD Development Env (DO NOT TOUCH),Mon Apr 28 2014 18:48:50 GMT-0400 (Eastern Daylight Time),1398725330991,Tue Dec 15 2020 09:58:15 GMT-0500 (Eastern Standard Time),1608044295913,test
56f00372acc0db20db00025b,Akron Children's Hospital,Mon Mar 21 2016 10:21:38 GMT-0400 (Eastern Daylight Time),1458570098093,Fri Mar 19 2021 14:42:09 GMT-0400 (Eastern Daylight Time),1616179329621,"hl7,orchid,sso"
5722326a4004122d420003f5,Beautiful CP,Thu Apr 28 2016 11:55:22 GMT-0400 (Eastern Daylight Time),1461858922687,Tue Dec 15 2020 09:58:51 GMT-0500 (Eastern Standard Time),1608044331043,test
